Sr. No,Course Number,Course Name,L-T-P-C,Faculty Name,Courses Slot,Lab Courses Slot
1,AR-501,"Robot Kinematics, Dynamics, and Control",3-1-0-4,Dr. Amit Shukla,E,
2,AR-508,Marine Robotics,3-0-0-3,"Dr. Jagadeesh
Kadiyam",FS,
3,AR-514,Vision and Learning Based Control,3-0-0-3,"Dr. Radhe Shyam
Sharma",D,
4,BE-101P,Reverse Engineering for Bioengineers,0-0-2-1,"Kharerin Hungyo, Ekta Makhija and Sumit Murab",FS,
2,BE-203,Enzymology and Bioprocessing,3-0-2-4,"Shyam Kumar
Masakapalli",D,L1
3,BE-301,Biomechanics,3-0-2-4,Mohd. Talha,B,L1
4,BE-304,Bioinformatics,3-0-2-4,"Tulika Prakash
Srivastava",C,L3
5,BE-506,Biological Modelling and Simulation,2-0-2-3,Kharerin Hungyo,H,L2
6,BE-507,Tissue Engineering,3-0-0-3,Sumit Murab,G,
7,BY-514,Analytical Biotechniques,3-0-0-3,Amit Jaiswal,A,
8,BY-515,Molecular Biotechnology,3-0-0-3,Baskar Bakthavachalu,B,
9,BY-517,Introduction to Proteomics,3-0-0-3,Trayambak Basak,F,
10,BY-527,Gene silencing and genome editing: principles and applications,3-0-0-3,Prasad Kasturi,D,
11,BY-531,Quantitative Biology and Data Analytics,3-0-0-3,Kharerin Hungyo,H,
12,BY-532,Immunotechnology,3-0-0-3,Amit Prasad,E,
13,BY-535P,Analytical Biotechniques Lab,0-0-2-1,Amit Jaiswal,,L4
14,BY-536P,Immunotechnology Lab,0-0-2-1,Amit Prasad,,L5
15,BY-699P,Post Graduate Project - 2 (BioTEch),0-0-34-17,Prasad Kasturi,NS,
16,CE-201,Surveying:Traditional and Digital,2-0-3-4,DPS,E,
17,CE-202,Introduction to Civil Engineering,1-0-0-1,KS,F,
18,CE-251,Hydraulics Engineering,3-0-0-3,DS,C,
19,CE-304P,Hydraulics Engineering Lab,0-0-2-1,"DS (CI),Aliva",,L2
20,CE-306P,Environmental Engineering Laboratory,0-0-2-1,"Sayantan(CI),Anan
d",,L3
21,CE-311,Geotechnical Engineering,3-0-0-3,VUK,D,
22,CE-311P,Geotechnical Engineering Laboratory,0-0-2-1,"VUK(CI),Ashutos
h",,L1
23,CE-356,Reverse Engineering,0-0-2-1,"Prasanna(CI),Subh
amoy,Vivek",H,
24,CE-401,Design of Steel Structures,2-1-0-3,"Shivang(CI),Mong",D,
25,CE-403,Waste water Engineering,3-0-0-3,Ranjeet,C,
26,CE-404,Analysis of Structures,3-0-0-3,Dhanya,B,
27,CE-499P,Major Technical Project-II,0-0-10-5,Ashutosh (FA),NS,
