Course,Slot,Room
CS671,A,CL-2
EE611,A,CL-4
EE326,A,A17-2A
CS302,A,A17-1A
BY514,A,A5-3
IC230,A,A5-2
ME513,A,A13-2B
CY555,A,A5-1
CY247,A,CL-3
HS481,A,A10-1A
HS541,A,CL-1
HS506,A,A5-4
ME215,A,A11-1B
MT204,A,A10-3B
DS413,A,A17-1B
MA521,A,A1-3
PH502,A,A10-2A
PH612,A,SC-NKN
IK503,A,A1-NKN
CS549,B,A1-NKN
EE604,B,CL-2
DS302,B,A13-2A
EE516,B,CL-3
VLXXX (Electronic system packaging),B,A17-2B
BY515,B,A5-3
BE301,B,A10-2B
CE404,B,A13-2B
CE526,B,A10-2C
CE554,B,A10-3A
CE560,B,A13-2D
CY502,B,CL-1
HS530,B,A5-4
ME205,B,A13-2C
ME514,B,A5-1
ME616,B,A5-2
ME617,B,CL-3
MT205,B,A10-3B
MA220,B,A17-1E
MA522,B,A1-3
PH621,B,SC-NKN
DS412,C,A17-1B
EE202,C,A17-2A
CS303,C,A11-1A
EE500,C,SC-NKN
VLXXX (CMOS processing and practicum),C,A17-2B
EEXXX (Medical Imaging & Applications,C,CL-3
BE304,C,A10-2B
CE251,C,A13-2B
CE403,C,A13-2D
CE517,C,A10-2C
CE552,C,A13-2C
CY507,C,CL-4
CY504,C,A5-1
CY401,C,CL-1
HS302,C,A10-1A
HS533,C,A5-4
ME516,C,CL-2
MT507,C,A5-3
MA221,C,A17-1E
MA523,C,A1-3
PH302,C,A10-2A
PH522,C,A5-2
EE201,D,A17-2A
EE584,D,CL-4
CS510,D,CL-2
BY527,D,A5-3
BE203,D,A10-2B
CE311,D,A13-2B
CE401,D,A13-2D
CE527,D,A10-2C
CE610,D,A10-3A
CY511,D,CL-1
CY513,D,A5-1
HS550,D,A5-4
HSXXX,D,A11-1A
ME100,D,A13-2C
ME520,D,CL-3
ME522,D,SC-NKN
MA222,D,A17-1E
MA552,D,A1-3
PH501,D,A10-2A
PH523,D,A5-2
AR514,D,A1-NKN
CS304,E,A13-1A
EE211,E,A17-1A
EE529,E,CL-2
EE608,E,SC-NKN
"VLXXX (Reverse engineering-E-Waste
management)",E,A17-2B
BY532,E,A5-3
CE201,E,A13-2B
CE504,E,A10-2C
CE519,E,CL-4
CE611,E,A10-3A
CY524,E,A5-1
HS358,E,A10-1B
HS542,E,A5-4
HS204,E,A10-1A
ME303,E,A13-2C
ME524,E,CL-1
MT206,E,A10-3B
MA524,E,A1-3
PH503,E,A5-2
AR501,E,A1-NKN
EE304,F,A17-1A
EE523,F,CL-1
DS401/DS411,F,A17-1B
EE556,F,A17-2A
BY517,F,A5-3
CE516,F,A10-3A
CE561,F,CL-4
CY644,F,A5-1
HS548,F,A5-4
HS256,F,A13-1A
ME307,F,A13-2B
MT509,F,CL-3
MA549,F,A1-3
EP403,F,A10-2A
PH521,F,A5-2
IK505,F,A10-2B
CS673,FS,
EE560,FS,
EE541,FS,
EE623P,FS,
EE630,FS,
ME506,FS,
CY670,FS,
CY304,FS,
HS537,FS,
HS631,FS,
HS632,FS,
HS633,FS,
ME600,FS,
ME622,FS,
ME625,FS,
MT501,FS,
EN511,FS,
MA002,FS,
PH609,FS,
AR508,FS,
IK515,FS,
CS309,G,A13-1A
EE309,G,A17-1B
DS303/DS313,G,A17-2A
CS520,G,CL-2
EE515,G,A5-3
BE507,G,A5-1
CE202,G,A13-2B
CE513,G,A10-2C
CE515,G,CL-4
CY200,G,A13-2D
HS504,G,A1-NKN
HS546,G,A5-4
HS342,G,A11-1B
HS255,G,A10-1A
HS351,G,A11-1A
ME601,G,CL-3
ME630,G,A1-3
MA516,G,CL-1
EP502,G,SC-NKN
PH550,G,A5-2
IK507,G,A17-1A
EE618,H,A5-3
EE582,H,CL-3
DS404,H,A13-1A
EE574,H,CL-1
BY531,H,A5-4
BE506,H,A5-1
CE356,H,A13-2B
CE509,H,A13-2D
HS202,H,A11-1A
PH524,H,A5-2
PH606,H,CL-2
ME513P,,
IC201P,,
HS208,,
ME210P,,
ME312P,,
IK509,,
IK593,,
